19.0175,0.940625,21.375,0.375,-7.0167150264,202.321838335
4.8695,0.275625,16.875,-0.125,-14.2146199581,68.9909450075
12.7295,0.204375,28.875,2.625,-16.4168926507,105.6278507057
11.9435,0.251875,0.375,-1.125,-13.6884240198,101.5984158009
6.8345,0.156875,18.375,-4.625,-17.7740767944,74.9587625136
5.6555,0.133125,17.625,3.375,-16.4106341412,69.8700316831
8.4065,0.394375,6.375,-2.875,-15.2081194997,87.8691638916
7.6205,0.536875,11.625,3.625,-15.1510969945,87.3412394588
12.3365,0.584375,28.125,0.125,-14.3284081232,120.5459983449
15.0875,0.560625,19.875,4.875,-11.3867495888,139.9935255085
7.2275,0.631875,22.875,4.625,-15.55469498,87.598694075
18.6245,0.323125,13.125,1.375,-10.0018060332,153.2616529657
10.3715,0.370625,15.375,2.125,-15.5198458654,97.7826800444
6.0485,0.893125,7.125,-1.375,-13.3506596041,85.1167422602
11.5505,0.180625,10.125,4.375,-15.9642530906,96.9652036122
16.6595,0.061875,4.125,3.125,-12.2379928811,119.2835969069
8.7995,0.703125,20.625,-0.875,-14.3941253116,99.0512733042
5.2625,0.869375,26.625,0.625,-13.6510217081,80.0995494999
16.2665,0.513125,12.375,2.875,-10.1184241004,146.7063250348
14.6945,0.655625,22.125,-4.375,-10.6327397425,142.5445613408
19.4105,0.299375,19.125,-3.125,-9.7370327368,159.737708584
15.8735,0.465625,27.375,-0.625,-12.0674470141,143.1901505698
10.7645,0.845625,13.875,-1.625,-12.4307006865,116.5056820736
8.0135,0.821875,23.625,-3.375,-14.8458312894,96.6761123604
6.4415,0.608125,8.625,-4.125,-14.612177058,82.3468246314
14.3015,0.109375,25.125,-4.875,-15.5983238354,109.3792143393
15.4805,0.916875,9.375,3.875,-8.3784223751,159.0736008721
11.1575,0.774375,5.625,0.875,-11.7411669513,116.8008458311
13.1225,0.441875,4.875,1.625,-11.8557785787,117.4849478256
17.4455,0.964375,3.375,-2.625,-7.2784401898,180.1711706603
13.9085,0.228125,14.625,-2.125,-14.0657370897,112.0743788295
13.5155,0.750625,10.875,-3.625,-10.468912854,134.9409980411
17.0525,0.418125,1.875,-2.375,-8.8656510279,145.3896840106
4.4765,0.346875,2.625,4.125,-12.700330239,68.297403229
9.5855,0.798125,1.125,-3.875,-12.4344083241,106.2182908842
9.9785,0.988125,25.875,1.875,-13.1383953921,114.9411709016
9.1925,0.085625,7.875,-0.375,-17.4694022218,82.7807821186
4.28,0.05,0,-5,-13.2458889335,63.6388049957
4.28,0.05,0,5,-13.2458889335,63.6388049957
4.28,0.05,30,-5,-14.2180624578,63.7443040731
4.28,0.05,30,5,-14.2180624578,63.7443040731
4.28,1,0,-5,-10.7371356534,75.5596312606
4.28,1,0,5,-10.7371356534,75.5596312606
4.28,1,30,-5,-11.5598756122,75.774658819
4.28,1,30,5,-11.5598756122,75.774658819
20,1,0,-5,-1.8083920808,212.0021346258
20,1,0,5,-1.8083920808,212.0021346258
20,1,30,-5,-2.3717202153,223.9585312589
20,1,30,5,-2.3717202153,223.9585312589
