5.066,0.4458333333,27.75,-14.8112939857,72.6075059131
13.974,0.4141666667,14.25,-9.9282587765,122.5552683534
13.45,0.0658333333,5.25,-13.3649867854,101.6224948905
4.542,0.2875,15.75,-13.4927450096,67.8107054593
10.306,0.0975,32.25,-18.9844481303,89.0501649543
9.782,0.3825,6.75,-14.0037764787,94.856070079
15.546,0.3191666667,24.75,-11.3585393552,129.8630224914
10.83,0.5091666667,33.75,-14.8335495808,107.4283005117
18.166,0.8258333333,35.25,-6.024622646,195.9397239164
9.258,0.9525,38.25,-13.9331730093,109.7548615507
15.022,0.6991666667,29.25,-10.2802099289,149.6235590569
5.59,0.6041666667,36.75,-15.8413152277,78.1254639136
19.214,0.2241666667,30.75,-10.333018035,154.8074863124
8.734,0.4775,20.25,-14.7268512173,92.2418036914
11.354,0.1291666667,17.25,-14.97986547,94.2378968061
7.162,0.1608333333,23.25,-18.2576417749,76.5182498852
16.594,0.1925,9.75,-10.4389667116,127.0670401002
8.21,0.6675,12.75,-13.3685776783,93.9653806178
17.118,0.9841666667,42.75,-8.3570594541,192.1517953288
16.07,0.5408333333,41.25,-11.3720702017,156.1853611306
12.926,0.6358333333,8.25,-9.7126089113,125.3419270825
19.738,0.7625,21.75,-6.7680112133,205.8023752445
11.878,0.7308333333,18.75,-8.5337642724,121.6395655673
17.642,0.5725,0.75,-7.6558291708,162.7410529698
6.638,0.8575,3.75,-12.9095667089,88.179544823
7.686,0.7941666667,26.25,-14.240690986,94.0401159356
18.69,0.9208333333,2.25,-5.1641565497,193.1568781373
6.114,0.2558333333,39.75,-18.5549330134,74.4311775478
12.402,0.3508333333,44.25,-16.1804363011,113.4266453229
4.28,0.05,0,-13.2458889256,63.6388049957
4.28,0.05,45,-14.9403792637,63.9161197572
4.28,1,0,-10.9593807066,75.5596312606
4.28,1,45,-12.7014507007,76.0184939942
20,0.05,0,-9.603728715,140.9834236562
20,0.05,45,-13.6258727469,158.3262329354
20,1,0,-3.7700663365,212.0021346258
20,1,45,-5.4395164462,244.833588015
